Date,Amount,Category,Text,,,,,,,,,,,
2025-01-03,3449.0,Bills,Transaction at Airtel,,,,,,,,,,,
2025-01-03,5845.74,Travel,Transaction at Vistara,,,,,,,,,,,
2025-01-03,1362.21,Grocery,Transaction at Spencers,,,,,,,,,,,
2025-01-03,597.81,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-03,1484.72,Healthcare,Transaction at Fortis,,,,,,,,,,,
2025-01-03,2631.3,Healthcare,Transaction at Apollo Pharmacy,,,,,,,,,,,
2025-01-03,4214.64,Bills,Transaction at Gas Agency,,,,,,,,,,,
2025-01-03,1227.97,Clothing,Transaction at Nike,,,,,,,,,,,
2025-01-03,4631.51,Grocery,Transaction at Star Bazaar,,,,,,,,,,,
2025-01-03,4923.9,Clothing,Transaction at Wrogn,,,,,,,,,,,
2025-01-03,4191.02,Grocery,Transaction at More Supermarket,,,,,,,,,,,
2025-01-03,1198.27,Transport,Transaction at Metro Rail,,,,,,,,,,,
2025-01-03,680.57,Entertainment,Transaction at Gaana,,,,,,,,,,,
2025-01-03,1141.11,Food,Transaction at Pizza Hut,,,,,,,,,,,
2025-01-03,104.24,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-03,10027.24,Travel,Transaction at OYO,,,,,,,,,,,
2025-01-03,827.43,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-03,5898.3,Clothing,Transaction at Zara,,,,,,,,,,,
2025-01-04,1317.31,Bills,Transaction at Jio Fiber,,,,,,,,,,,
2025-01-04,2147.95,Clothing,Transaction at Woodland,,,,,,,,,,,
2025-01-04,511.91,Entertainment,Transaction at YouTube Premium,,,,,,,,,,,
2025-01-04,18244.2,Healthcare,Transaction at Netmeds,,,,,,,,,,,
2025-01-04,8910.28,Online Shopping,Transaction at Lenskart,,,,,,,,,,,
2025-01-04,28350.99,Travel,Transaction at IRCTC,,,,,,,,,,,
2025-01-04,1759.47,Clothing,Transaction at H&M,,,,,,,,,,,
2025-01-04,24646.35,Travel,Transaction at IRCTC,,,,,,,,,,,
2025-01-04,457.38,Transport,Transaction at Ola,,,,,,,,,,,
2025-01-04,5305.51,Healthcare,Transaction at CloudNine,,,,,,,,,,,
2025-01-04,1292.15,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-04,708.03,Bills,Transaction at Airtel,,,,,,,,,,,
2025-01-04,2790.27,Bills,Transaction at TNEB,,,,,,,,,,,
2025-01-04,806.63,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-04,138433.52,Electronics,Transaction at HP World,,,,,,,,,,,
2025-01-04,264.55,Grocery,Transaction at Star Bazaar,,,,,,,,,,,
2025-01-04,603.38,Food,Transaction at Subway,,,,,,,,,,,
2025-01-05,563.83,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-05,946.7,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-05,6247.98,Online Shopping,Transaction at Myntra,,,,,,,,,,,
2025-01-05,752.05,Entertainment,Transaction at Hotstar,,,,,,,,,,,
2025-01-05,1913.71,Healthcare,Transaction at MedPlus,,,,,,,,,,,
2025-01-05,3150.09,Grocery,Transaction at BigBazaar,,,,,,,,,,,
2025-01-05,14207.75,Healthcare,Transaction at CloudNine,,,,,,,,,,,
2025-01-05,272.43,Entertainment,Transaction at Hotstar,,,,,,,,,,,
2025-01-05,382.31,Food,Transaction at KFC,,,,,,,,,,,
2025-01-05,11102.86,Healthcare,Transaction at Apollo Pharmacy,,,,,,,,,,,
2025-01-05,1341.92,Food,Transaction at KFC,,,,,,,,,,,
2025-01-05,7356.15,Healthcare,Transaction at Kauvery,,,,,,,,,,,
2025-01-05,19844.72,Healthcare,Transaction at 1mg,,,,,,,,,,,
2025-01-05,2997.14,Grocery,Transaction at Spencers,,,,,,,,,,,
2025-01-05,461.84,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-05,8486.73,Healthcare,Transaction at 1mg,,,,,,,,,,,
2025-01-05,250.72,Food,Transaction at Burger King,,,,,,,,,,,
2025-01-05,15790.2,Online Shopping,Transaction at Myntra,,,,,,,,,,,
2025-01-06,18249.98,Travel,Transaction at AirAsia,,,,,,,,,,,
2025-01-06,448.3,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-06,19019.41,Healthcare,Transaction at Fortis,,,,,,,,,,,
2025-01-06,486.8,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-06,3331.01,Bills,Transaction at Water Board,,,,,,,,,,,
2025-01-06,65207.52,Electronics,Transaction at OnePlus,,,,,,,,,,,
2025-01-06,13196.63,Online Shopping,Transaction at Lenskart,,,,,,,,,,,
2025-01-06,1628.81,Transport,Transaction at Rapido,,,,,,,,,,,
2025-01-06,924.88,Entertainment,Transaction at Gaana,,,,,,,,,,,
2025-01-06,91112.19,Electronics,Transaction at Croma,,,,,,,,,,,
2025-01-06,2578.14,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-06,5850.5,Bills,Transaction at TNEB,,,,,,,,,,,
2025-01-06,3096.88,Grocery,Transaction at Reliance Fresh,,,,,,,,,,,
2025-01-06,1913.96,Transport,Transaction at BMTC,,,,,,,,,,,
2025-01-06,6505.16,Online Shopping,Transaction at Myntra,,,,,,,,,,,
2025-01-06,4627.62,Bills,Transaction at Gas Agency,,,,,,,,,,,
2025-01-06,7049.25,Online Shopping,Transaction at Nykaa,,,,,,,,,,,
2025-01-06,889.64,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-06,65315.68,Electronics,Transaction at Sony Center,,,,,,,,,,,
2025-01-06,908.77,Food,Transaction at Saravana Bhavan,,,,,,,,,,,
2025-01-06,275.65,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-06,110642.99,Electronics,Transaction at Noise,,,,,,,,,,,
2025-01-06,1472.64,Food,Transaction at Paradise Biryani,,,,,,,,,,,
2025-01-07,1181.13,Grocery,Transaction at Nilgiris,,,,,,,,,,,
2025-01-07,50849.39,Electronics,Transaction at OnePlus,,,,,,,,,,,
2025-01-07,3797.39,Clothing,Transaction at Nike,,,,,,,,,,,
2025-01-07,3367.14,Grocery,Transaction at Nilgiris,,,,,,,,,,,
2025-01-07,5926.49,Bills,Transaction at Water Board,,,,,,,,,,,
2025-01-07,5915.31,Healthcare,Transaction at 1mg,,,,,,,,,,,
2025-01-07,1100.17,Food,Transaction at A2B,,,,,,,,,,,
2025-01-07,2131.26,Grocery,Transaction at Nature's Basket,,,,,,,,,,,
2025-01-07,377.91,Entertainment,Transaction at Apple Music,,,,,,,,,,,
2025-01-07,12342.2,Online Shopping,Transaction at Snapdeal,,,,,,,,,,,
2025-01-07,2621.3,Grocery,Transaction at DMart,,,,,,,,,,,
2025-01-07,986.17,Entertainment,Transaction at SonyLiv,,,,,,,,,,,
2025-01-07,4468.07,Bills,Transaction at BSNL,,,,,,,,,,,
2025-01-07,753.44,Transport,Transaction at RedBus,,,,,,,,,,,
2025-01-07,398.21,Entertainment,Transaction at Apple Music,,,,,,,,,,,
2025-01-07,994.92,Food,Transaction at Starbucks,,,,,,,,,,,
2025-01-07,592.3,Food,Transaction at Paradise Biryani,,,,,,,,,,,
2025-01-07,900.52,Entertainment,Transaction at Amazon Prime,,,,,,,,,,,
2025-01-07,168.65,Food,Transaction at Cream Stone,,,,,,,,,,,
2025-01-07,125.12,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-07,198.5,Entertainment,Transaction at Spotify,,,,,,,,,,,
2025-01-08,3749.25,Clothing,Transaction at H&M,,,,,,,,,,,
2025-01-08,9106.46,Healthcare,Transaction at Aster,,,,,,,,,,,
2025-01-08,15597.99,Healthcare,Transaction at Apollo Pharmacy,,,,,,,,,,,
2025-01-08,8794.54,Healthcare,Transaction at Netmeds,,,,,,,,,,,
2025-01-08,9678.47,Online Shopping,Transaction at Lenskart,,,,,,,,,,,
2025-01-08,7245.63,Online Shopping,Transaction at Amazon,,,,,,,,,,,
2025-01-08,496.67,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-08,5125.54,Clothing,Transaction at Biba,,,,,,,,,,,
2025-01-08,9256.43,Online Shopping,Transaction at Meesho,,,,,,,,,,,
2025-01-08,813.43,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-08,1785.27,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-08,9668.49,Healthcare,Transaction at Kauvery,,,,,,,,,,,
2025-01-08,17242.25,Healthcare,Transaction at Kauvery,,,,,,,,,,,
2025-01-08,486.17,Transport,Transaction at TSRTC,,,,,,,,,,,
2025-01-08,9836.8,Healthcare,Transaction at Aster,,,,,,,,,,,
2025-01-08,4313.28,Healthcare,Transaction at Fortis,,,,,,,,,,,
2025-01-08,5980.28,Clothing,Transaction at Allen Solly,,,,,,,,,,,
2025-01-08,146.88,Entertainment,Transaction at Gaana,,,,,,,,,,,
2025-01-08,1856.23,Transport,Transaction at Rapido,,,,,,,,,,,
2025-01-08,327.3,Food,Transaction at Saravana Bhavan,,,,,,,,,,,
2025-01-08,3800.8,Healthcare,Transaction at MedPlus,,,,,,,,,,,
2025-01-08,573.75,Entertainment,Transaction at Hotstar,,,,,,,,,,,
2025-01-08,12054.54,Healthcare,Transaction at Netmeds,,,,,,,,,,,
2025-01-08,2011.08,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-09,7104.45,Clothing,Transaction at Levis,,,,,,,,,,,
2025-01-09,4175.77,Bills,Transaction at TNEB,,,,,,,,,,,
2025-01-09,483.17,Food,Transaction at Paradise Biryani,,,,,,,,,,,
2025-01-09,876.32,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-09,1837.58,Transport,Transaction at Rapido,,,,,,,,,,,
2025-01-09,3701.78,Online Shopping,Transaction at Pepperfry,,,,,,,,,,,
2025-01-09,29587.72,Travel,Transaction at Booking.com,,,,,,,,,,,
2025-01-09,1305.74,Travel,Transaction at IndiGo,,,,,,,,,,,
2025-01-09,2990.69,Online Shopping,Transaction at Tata Cliq,,,,,,,,,,,
2025-01-09,122.67,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-09,1013.95,Food,Transaction at A2B,,,,,,,,,,,
2025-01-09,612.57,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-09,609.82,Food,Transaction at Paradise Biryani,,,,,,,,,,,
2025-01-09,2500.83,Bills,Transaction at Gas Agency,,,,,,,,,,,
2025-01-09,1930.43,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-09,731.57,Bills,Transaction at Water Board,,,,,,,,,,,
2025-01-09,5912.64,Clothing,Transaction at Puma,,,,,,,,,,,
2025-01-09,1552.86,Transport,Transaction at Metro Rail,,,,,,,,,,,
2025-01-09,10184.37,Healthcare,Transaction at Kauvery,,,,,,,,,,,
2025-01-09,17879.17,Travel,Transaction at IndiGo,,,,,,,,,,,
2025-01-09,442.92,Food,Transaction at Cream Stone,,,,,,,,,,,
2025-01-10,4490.07,Clothing,Transaction at Max Fashion,,,,,,,,,,,
2025-01-10,226.59,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-10,14308.69,Travel,Transaction at Goibibo,,,,,,,,,,,
2025-01-10,6106.66,Clothing,Transaction at Levis,,,,,,,,,,,
2025-01-10,111.51,Transport,Transaction at Meru Cabs,,,,,,,,,,,
2025-01-10,893.7,Food,Transaction at CCD,,,,,,,,,,,
2025-01-10,495.23,Entertainment,Transaction at Hotstar,,,,,,,,,,,
2025-01-10,108.55,Transport,Transaction at Metro Rail,,,,,,,,,,,
2025-01-10,3897.33,Clothing,Transaction at Zara,,,,,,,,,,,
2025-01-10,1201.89,Food,Transaction at Barbeque Nation,,,,,,,,,,,
2025-01-10,112052.2,Electronics,Transaction at Noise,,,,,,,,,,,
2025-01-10,1669.09,Bills,Transaction at Jio Fiber,,,,,,,,,,,
2025-01-10,217.85,Grocery,Transaction at Nilgiris,,,,,,,,,,,
2025-01-10,2994.24,Clothing,Transaction at Wrogn,,,,,,,,,,,
2025-01-10,1579.39,Transport,Transaction at Meru Cabs,,,,,,,,,,,
2025-01-10,1083.29,Transport,Transaction at Ola,,,,,,,,,,,
2025-01-10,18102.66,Electronics,Transaction at Apple Store,,,,,,,,,,,
2025-01-10,2453.33,Grocery,Transaction at More Supermarket,,,,,,,,,,,
2025-01-10,10943.22,Online Shopping,Transaction at Nykaa,,,,,,,,,,,
2025-01-10,1880.81,Bills,Transaction at Vodafone Idea,,,,,,,,,,,
2025-01-10,2479.44,Grocery,Transaction at Reliance Fresh,,,,,,,,,,,
2025-01-11,683.57,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-11,1197.89,Food,Transaction at Taco Bell,,,,,,,,,,,
2025-01-11,2753.94,Bills,Transaction at Vodafone Idea,,,,,,,,,,,
2025-01-11,2280.31,Online Shopping,Transaction at Snapdeal,,,,,,,,,,,
2025-01-11,1395.14,Food,Transaction at Burger King,,,,,,,,,,,
2025-01-11,7458.71,Healthcare,Transaction at Apollo Pharmacy,,,,,,,,,,,
2025-01-11,652.24,Food,Transaction at Cream Stone,,,,,,,,,,,
2025-01-11,149113.6,Electronics,Transaction at Samsung Store,,,,,,,,,,,
2025-01-11,4506.61,Clothing,Transaction at Adidas,,,,,,,,,,,
2025-01-11,6028.14,Clothing,Transaction at Woodland,,,,,,,,,,,
2025-01-11,119718.87,Electronics,Transaction at Sony Center,,,,,,,,,,,
2025-01-11,20708.49,Travel,Transaction at IRCTC,,,,,,,,,,,
2025-01-11,14884.4,Travel,Transaction at AirAsia,,,,,,,,,,,
2025-01-11,138.26,Entertainment,Transaction at YouTube Premium,,,,,,,,,,,
2025-01-11,4408.14,Grocery,Transaction at Nature's Basket,,,,,,,,,,,
2025-01-11,3437.82,Bills,Transaction at TNEB,,,,,,,,,,,
2025-01-11,1109.73,Clothing,Transaction at H&M,,,,,,,,,,,
2025-01-11,472.44,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-11,794.79,Food,Transaction at Subway,,,,,,,,,,,
2025-01-11,3159.43,Grocery,Transaction at Star Bazaar,,,,,,,,,,,
2025-01-11,14122.69,Electronics,Transaction at Dell Exclusive,,,,,,,,,,,
2025-01-11,832.06,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-11,3772.61,Healthcare,Transaction at Fortis,,,,,,,,,,,
2025-01-11,13976.61,Travel,Transaction at Yatra,,,,,,,,,,,
2025-01-11,104523.78,Electronics,Transaction at Sony Center,,,,,,,,,,,
2025-01-11,6079.89,Clothing,Transaction at Woodland,,,,,,,,,,,
2025-01-11,248.61,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-11,11898.44,Travel,Transaction at Vistara,,,,,,,,,,,
2025-01-11,4175.51,Bills,Transaction at Jio Fiber,,,,,,,,,,,
2025-01-12,10391.15,Healthcare,Transaction at Aster,,,,,,,,,,,
2025-01-12,72835.1,Electronics,Transaction at Vivo Store,,,,,,,,,,,
2025-01-12,1339.56,Food,Transaction at Dominos,,,,,,,,,,,
2025-01-12,728.33,Entertainment,Transaction at Spotify,,,,,,,,,,,
2025-01-12,1738.11,Transport,Transaction at TSRTC,,,,,,,,,,,
2025-01-12,4298.44,Grocery,Transaction at BigBazaar,,,,,,,,,,,
2025-01-12,2585.81,Travel,Transaction at Booking.com,,,,,,,,,,,
2025-01-12,503.35,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-12,7622.82,Travel,Transaction at Goibibo,,,,,,,,,,,
2025-01-12,100422.25,Electronics,Transaction at OnePlus,,,,,,,,,,,
2025-01-12,2467.04,Grocery,Transaction at Nilgiris,,,,,,,,,,,
2025-01-12,362.03,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-12,3744.43,Bills,Transaction at Jio Fiber,,,,,,,,,,,
2025-01-12,2056.43,Bills,Transaction at Vodafone Idea,,,,,,,,,,,
2025-01-12,649.03,Transport,Transaction at Ola,,,,,,,,,,,
2025-01-13,3511.95,Clothing,Transaction at Zara,,,,,,,,,,,
2025-01-13,1017.64,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-13,28673.41,Travel,Transaction at Vistara,,,,,,,,,,,
2025-01-13,19775.63,Online Shopping,Transaction at Flipkart,,,,,,,,,,,
2025-01-13,14567.04,Online Shopping,Transaction at Myntra,,,,,,,,,,,
2025-01-13,3646.2,Bills,Transaction at BSNL,,,,,,,,,,,
2025-01-13,1297.2,Transport,Transaction at Metro Rail,,,,,,,,,,,
2025-01-13,38830.72,Electronics,Transaction at Mi Store,,,,,,,,,,,
2025-01-13,399.46,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-13,2310.39,Grocery,Transaction at More Supermarket,,,,,,,,,,,
2025-01-13,6210.38,Online Shopping,Transaction at Lenskart,,,,,,,,,,,
2025-01-13,7152.43,Clothing,Transaction at Allen Solly,,,,,,,,,,,
2025-01-13,714.35,Bills,Transaction at Water Board,,,,,,,,,,,
2025-01-13,303.68,Entertainment,Transaction at SonyLiv,,,,,,,,,,,
2025-01-13,1614.14,Bills,Transaction at Jio Fiber,,,,,,,,,,,
2025-01-14,9837.52,Online Shopping,Transaction at Pepperfry,,,,,,,,,,,
2025-01-14,35027.12,Electronics,Transaction at Croma,,,,,,,,,,,
2025-01-14,13392.33,Healthcare,Transaction at PharmEasy,,,,,,,,,,,
2025-01-14,7916.15,Online Shopping,Transaction at Amazon,,,,,,,,,,,
2025-01-14,4271.25,Online Shopping,Transaction at Nykaa,,,,,,,,,,,
2025-01-14,6265.63,Clothing,Transaction at Woodland,,,,,,,,,,,
2025-01-14,616.08,Bills,Transaction at Gas Agency,,,,,,,,,,,
2025-01-14,19100.71,Electronics,Transaction at Apple Store,,,,,,,,,,,
2025-01-14,14126.09,Healthcare,Transaction at MedPlus,,,,,,,,,,,
2025-01-14,911.22,Food,Transaction at Starbucks,,,,,,,,,,,
2025-01-14,506.18,Transport,Transaction at TSRTC,,,,,,,,,,,
2025-01-14,5222.92,Healthcare,Transaction at Apollo Pharmacy,,,,,,,,,,,
2025-01-14,52956.89,Electronics,Transaction at Boat Lifestyle,,,,,,,,,,,
2025-01-14,1475.14,Food,Transaction at McDonalds,,,,,,,,,,,
2025-01-14,3959.34,Bills,Transaction at Water Board,,,,,,,,,,,
2025-01-14,8968.21,Healthcare,Transaction at Netmeds,,,,,,,,,,,
2025-01-14,232.72,Entertainment,Transaction at Spotify,,,,,,,,,,,
2025-01-14,1973.82,Transport,Transaction at RedBus,,,,,,,,,,,
2025-01-14,133.0,Entertainment,Transaction at Apple Music,,,,,,,,,,,
2025-01-14,956.58,Entertainment,Transaction at Spotify,,,,,,,,,,,
2025-01-14,94698.6,Electronics,Transaction at Boat Lifestyle,,,,,,,,,,,
2025-01-14,120051.07,Electronics,Transaction at Mi Store,,,,,,,,,,,
2025-01-14,739.2,Food,Transaction at CCD,,,,,,,,,,,
2025-01-14,938.83,Bills,Transaction at ACT Fibernet,,,,,,,,,,,
2025-01-14,64262.79,Electronics,Transaction at Asus Store,,,,,,,,,,,
2025-01-15,12900.53,Online Shopping,Transaction at Myntra,,,,,,,,,,,
2025-01-15,21066.76,Travel,Transaction at Yatra,,,,,,,,,,,
2025-01-15,77.25,Transport,Transaction at Yulu Bikes,,,,,,,,,,,
2025-01-15,7774.24,Online Shopping,Transaction at Amazon,,,,,,,,,,,
2025-01-15,1287.3,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-15,1095.79,Food,Transaction at Cream Stone,,,,,,,,,,,
2025-01-15,68611.46,Electronics,Transaction at Vivo Store,,,,,,,,,,,
2025-01-15,1318.26,Transport,Transaction at Metro Rail,,,,,,,,,,,
2025-01-15,29764.79,Travel,Transaction at MakeMyTrip,,,,,,,,,,,
2025-01-15,719.52,Entertainment,Transaction at Gaana,,,,,,,,,,,
2025-01-15,757.57,Entertainment,Transaction at YouTube Premium,,,,,,,,,,,
2025-01-15,18916.0,Healthcare,Transaction at Apollo Pharmacy,,,,,,,,,,,
2025-01-15,1520.24,Clothing,Transaction at Levis,,,,,,,,,,,
2025-01-15,533.46,Entertainment,Transaction at SonyLiv,,,,,,,,,,,
2025-01-15,1273.76,Food,Transaction at CCD,,,,,,,,,,,
2025-01-15,5776.38,Healthcare,Transaction at PharmEasy,,,,,,,,,,,
2025-01-15,5512.67,Bills,Transaction at Airtel,,,,,,,,,,,
2025-01-15,1864.78,Transport,Transaction at Uber,,,,,,,,,,,
2025-01-15,17478.4,Healthcare,Transaction at Aster,,,,,,,,,,,
2025-01-15,24302.68,Travel,Transaction at Air India,,,,,,,,,,,
2025-01-15,946.2,Transport,Transaction at RedBus,,,,,,,,,,,
2025-01-15,902.28,Food,Transaction at Starbucks,,,,,,,,,,,
2025-01-15,604.52,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-15,9398.37,Online Shopping,Transaction at Snapdeal,,,,,,,,,,,
2025-01-15,16923.61,Healthcare,Transaction at CloudNine,,,,,,,,,,,
2025-01-15,174.02,Food,Transaction at Chai Point,,,,,,,,,,,
2025-01-16,562.1,Bills,Transaction at ACT Fibernet,,,,,,,,,,,
2025-01-16,538.56,Entertainment,Transaction at Netflix,,,,,,,,,,,
2025-01-16,49085.04,Electronics,Transaction at Dell Exclusive,,,,,,,,,,,
2025-01-16,66872.52,Electronics,Transaction at Mi Store,,,,,,,,,,,
2025-01-16,1725.8,Healthcare,Transaction at PharmEasy,,,,,,,,,,,
2025-01-16,716.63,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-16,2990.68,Travel,Transaction at OYO,,,,,,,,,,,
2025-01-16,16163.41,Online Shopping,Transaction at Amazon,,,,,,,,,,,
2025-01-16,963.96,Entertainment,Transaction at Netflix,,,,,,,,,,,
2025-01-16,719.32,Food,Transaction at CCD,,,,,,,,,,,
2025-01-16,9510.22,Healthcare,Transaction at Aster,,,,,,,,,,,
2025-01-16,5660.21,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-16,2009.72,Grocery,Transaction at Spencers,,,,,,,,,,,
2025-01-16,2048.33,Grocery,Transaction at BigBazaar,,,,,,,,,,,
2025-01-16,19176.6,Online Shopping,Transaction at Nykaa,,,,,,,,,,,
2025-01-16,1742.94,Grocery,Transaction at Nilgiris,,,,,,,,,,,
2025-01-16,470.22,Food,Transaction at Dominos,,,,,,,,,,,
2025-01-16,926.51,Transport,Transaction at Metro Rail,,,,,,,,,,,
2025-01-16,1971.01,Transport,Transaction at RedBus,,,,,,,,,,,
2025-01-16,92748.59,Electronics,Transaction at Vivo Store,,,,,,,,,,,
2025-01-16,423.75,Food,Transaction at Paradise Biryani,,,,,,,,,,,
2025-01-16,460.35,Bills,Transaction at Gas Agency,,,,,,,,,,,
2025-01-16,3174.31,Clothing,Transaction at H&M,,,,,,,,,,,
2025-01-16,4773.91,Online Shopping,Transaction at Ajio,,,,,,,,,,,
2025-01-16,3028.9,Grocery,Transaction at Star Bazaar,,,,,,,,,,,
2025-01-16,417.71,Food,Transaction at Taco Bell,,,,,,,,,,,
2025-01-17,11115.37,Travel,Transaction at IRCTC,,,,,,,,,,,
2025-01-17,685.22,Grocery,Transaction at Nilgiris,,,,,,,,,,,
2025-01-17,1655.54,Transport,Transaction at TSRTC,,,,,,,,,,,
2025-01-17,8062.42,Healthcare,Transaction at PharmEasy,,,,,,,,,,,
2025-01-17,503.5,Transport,Transaction at Rapido,,,,,,,,,,,
2025-01-17,792.35,Entertainment,Transaction at Zee5,,,,,,,,,,,
2025-01-17,11295.98,Electronics,Transaction at Dell Exclusive,,,,,,,,,,,
2025-01-17,79769.83,Electronics,Transaction at Samsung Store,,,,,,,,,,,
2025-01-17,769.57,Entertainment,Transaction at Netflix,,,,,,,,,,,
2025-01-17,177.26,Transport,Transaction at BMTC,,,,,,,,,,,
2025-01-17,9532.38,Healthcare,Transaction at CloudNine,,,,,,,,,,,
2025-01-17,3857.46,Grocery,Transaction at More Supermarket,,,,,,,,,,,
2025-01-17,109954.77,Electronics,Transaction at Reliance Digital,,,,,,,,,,,
2025-01-17,2123.18,Bills,Transaction at Airtel,,,,,,,,,,,
2025-01-17,6973.86,Clothing,Transaction at Wrogn,,,,,,,,,,,
2025-01-17,7885.96,Clothing,Transaction at Puma,,,,,,,,,,,
2025-01-17,5008.45,Clothing,Transaction at Zara,,,,,,,,,,,
2025-01-17,4550.61,Bills,Transaction at TNEB,,,,,,,,,,,
2025-01-17,21677.29,Electronics,Transaction at Mi Store,,,,,,,,,,,
2025-01-18,7689.79,Healthcare,Transaction at 1mg,,,,,,,,,,,
